target,english,category,ipa_target,ipa_english
bună seara,good evening,greeting,/ˈbu.nə ˈse̯a.ra/,/ɡʊd ˈiːvnɪŋ/
noapte bună,good night,greeting,/ˈno̯ap.te ˈbu.nə/,/ɡʊd naɪt/
la revedere,goodbye,greeting,/la re.ve.ˈde.re/,/ɡʊdˈbaɪ/
pa,bye,greeting,/pa/,/baɪ/
salut,hi,greeting,/sa.ˈlut/,/haɪ/
ce mai faci,how are you,phrase,/t͡ʃe maj fat͡ʃʲ/,/haʊ ɑːr juː/
bine mulțumesc,fine thank you,phrase,/ˈbi.ne mul.t͡su.ˈmesk/,/faɪn θæŋk juː/
mulțumesc,thank you,phrase,/mul.t͡su.ˈmesk/,/θæŋk juː/
mulțumesc mult,thank you very much,phrase,/mul.t͡su.ˈmesk mult/,/θæŋk juː ˈveri mʌtʃ/
cu plăcere,you're welcome,phrase,/ku plə.ˈt͡ʃe.re/,/jɔːr ˈwelkəm/
vă rog,please (formal),phrase,/və roɡ/,/pliːz/
te rog,please (informal),phrase,/te roɡ/,/pliːz/
scuzați-mă,excuse me (formal),phrase,/sku.ˈza.t͡sʲ mə/,/ɪkˈskjuːz miː/
scuză-mă,excuse me (informal),phrase,/ˈsku.zə mə/,/ɪkˈskjuːz miː/
îmi pare rău,I'm sorry,phrase,/ɨmʲ ˈpa.re rəw/,/aɪm ˈsɒri/
nu înțeleg,I don't understand,phrase,/nu ɨn.ˈt͡se.leɡ/,/aɪ doʊnt ˌʌndərˈstænd/
vorbiți engleza,do you speak English,phrase,/vor.ˈbit͡sʲ en.ˈɡle.za/,/duː juː spiːk ˈɪŋɡlɪʃ/
bineînțeles,of course,phrase,/bi.ne.ɨn.t͡se.ˈles/,/əv kɔːrs/
noroc,cheers/good luck,exclamation,/no.ˈrok/,/tʃɪərz | ɡʊd lʌk/
sănătate,health/bless you,exclamation,/sə.nə.ˈta.te/,/helθ | bles juː/
pe curând,see you soon,greeting,/pe ku.ˈrɨnd/,/siː juː suːn/
pe mâine,see you tomorrow,greeting,/pe ˈmɨj.ne/,/siː juː təˈmɒroʊ/
cum te numești,what is your name,phrase,/kum te nu.ˈmeʃtʲ/,/wɒt ɪz jɔːr neɪm/
mă numesc,my name is,phrase,/mə nu.ˈmesk/,/maɪ neɪm ɪz/
de unde ești,where are you from,phrase,/de ˈun.de jeʃtʲ/,/wer ɑːr juː frɒm/
câți ani ai,how old are you,phrase,/kɨt͡sʲ anʲ aj/,/haʊ oʊld ɑːr juː/
cât costă,how much does it cost,phrase,/kɨt ˈkos.tə/,/haʊ mʌtʃ dʌz ɪt kɒst/
unde este,where is,phrase,/ˈun.de ˈjes.te/,/wer ɪz/
ce este asta,what is this,phrase,/t͡ʃe ˈjes.te ˈas.ta/,/wɒt ɪz ðɪs/
ajutor,help!,exclamation,/a.ʒu.ˈtor/,/help/
atenție,attention!,exclamation,/a.ˈten.t͡si.e/,/əˈtenʃən/
la mulți ani,happy birthday,exclamation,/la mult͡sʲ anʲ/,/ˈhæpi ˈbɜːrθdeɪ/
bun venit,welcome,greeting,/bun ve.ˈnit/,/ˈwelkəm/
vă mulțumesc,thank you (formal),phrase,/və mul.t͡su.ˈmesk/,/θæŋk juː/
nu știu,I don't know,phrase,/nu ˈʃti.u/,/aɪ doʊnt noʊ/
nu contează,it doesn't matter,phrase,/nu kon.ˈte̯a.zə/,/ɪt ˈdʌznt ˈmætər/
totul e bine,everything is fine,phrase,/ˈto.tul je ˈbi.ne/,/ˈevriθɪŋ ɪz faɪn/
fel,kind/way,noun,/fel/,/kaɪnd | weɪ/
dată,time/date,noun,/ˈda.tə/,/taɪm | deɪt/
caz,case,noun,/kaz/,/keɪs/
trebuie,must,particle,/ˈtre.bu.je/,/mʌst/
fiecare,each/every,pronoun,/fje.ˈka.re/,/iːtʃ | ˈevri/
alt,other/another,determiner,/alt/,/ˈʌðər | əˈnʌðər/
același,same,pronoun,/a.t͡ʃe.ˈlaʃʲ/,/seɪm/
propriu,own,adjective,/ˈpro.prju/,/oʊn/
mulți,many,adjective,/mult͡sʲ/,/ˈmeni/
câteva,some/a few,pronoun,/ˈkɨ.te.va/,/sʌm | ə fjuː/
primul,first,adjective,/ˈpri.mul/,/fɜːrst/
ultimul,last,adjective,/ˈul.ti.mul/,/lɑːst/
exact,exactly,adverb,/eɡ.ˈzakt/,/ɪɡˈzæktli/
totuși,however/still,adverb,/to.ˈtu.ʃʲ/,/haʊˈevər | stɪl/
însă,however,conjunction,/ˈɨn.sə/,/haʊˈevər/
deci,so/therefore,conjunction,/ˈde.t͡ʃʲ/,/soʊ | ˈðerfɔːr/
atunci,then,adverb,/a.ˈtunt͡ʃʲ/,/ðen/
iată,behold/here is,interjection,/ˈja.tə/,/bɪˈhoʊld | hɪər ɪz/
orice,anything,pronoun,/o.ri.ˈt͡ʃe/,/ˈeniθɪŋ/
cineva,someone,pronoun,/t͡ʃi.ˈne.va/,/ˈsʌmwʌn/
nimeni,nobody,pronoun,/ni.ˈmenʲ/,/ˈnoʊbɒdi/
ceva,something,pronoun,/t͡ʃe.ˈva/,/ˈsʌmθɪŋ/
nimic,nothing,pronoun,/ni.ˈmik/,/ˈnʌθɪŋ/
oriunde,anywhere,adverb,/o.ri.ˈun.de/,/ˈenɪwer/
altcineva,someone else,pronoun,/alt.t͡ʃi.ˈne.va/,/ˈsʌmwʌn els/
amândoi,both,pronoun,/a.mɨn.ˈdoj/,/boʊθ/
dintre,among/between,preposition,/ˈdin.tre/,/əˈmʌŋ | bɪˈtwiːn/
de asemenea,also,adverb,/de a.se.ˈme.ne̯a/,/ˈɔːlsoʊ/
fată,girl,noun,/ˈfa.tə/,/ɡɜːrl/
doamnă,lady/Mrs.,noun,/ˈdo̯am.nə/,/ˈleɪdi | ˈmɪsɪz/
domn,gentleman/Mr.,noun,/domn/,/ˈdʒentlmən | ˈmɪstər/
număr,number,noun,/ˈnu.mər/,/ˈnʌmbər/
vreme,weather/time,noun,/ˈvre.me/,/ˈweðər | taɪm/
aer,air,noun,/a.ˈer/,/er/
foc,fire,noun,/fok/,/ˈfaɪər/
hârtie,paper,noun,/hɨr.ˈti.e/,/ˈpeɪpər/
necesar,necessary,adjective,/ne.t͡ʃe.ˈsar/,/ˈnesəseri/
corect,correct,adjective,/ko.ˈrekt/,/kəˈrekt/
greșit,wrong/mistaken,adjective,/ɡre.ˈʃit/,/rɒŋ | mɪˈsteɪkən/
plăcut,pleasant,adjective,/plə.ˈkut/,/ˈplezənt/
mereu,always/constantly,adverb,/me.ˈrew/,/ˈɔːlweɪz | ˈkɒnstəntli/
curând,soon,adverb,/ku.ˈrɨnd/,/suːn/
mi-e foame,I'm hungry,phrase,/mje ˈfo̯a.me/,/aɪm ˈhʌŋɡri/
ce faci,what are you doing,phrase,/t͡ʃe fat͡ʃʲ/,/wɒt ɑːr juː ˈduːɪŋ/
